[M, N, K]	[kTM, kTN, kTK]	[kWarpPerRow, kWarpPerCol]	CublasTime(ms)	CutlassTime(ms)	Ratio
[4096, 4096, 32]	[64, 32, 32]	[2, 2]	0.0300	0.0234	0.7812
[4096, 4096, 32]	[64, 64, 32]	[2, 2]	0.0303	0.0234	0.7750
[4096, 4096, 32]	[64, 256, 32]	[2, 2]	0.0301	0.0247	0.8228
[4096, 4096, 2048]	[64, 32, 32]	[2, 2]	0.2722	0.6167	2.2652
[4096, 4096, 2048]	[64, 64, 32]	[2, 2]	0.2724	0.4399	1.6148
[4096, 4096, 2048]	[64, 256, 32]	[2, 2]	0.2721	0.4221	1.5513
[4096, 4096, 2048]	[128, 256, 64]	[2, 2]	0.2724	0.9137	3.3539
[4096, 4096, 2048]	[128, 128, 32]	[2, 2]	0.2727	0.3761	1.3791
[4096, 4096, 2048]	[128, 64, 32]	[2, 2]	0.2730	0.3707	1.3580
[4096, 4096, 2048]	[64, 128, 32]	[2, 2]	0.2719	0.3746	1.3775
[4096, 4096, 2048]	[128, 32, 32]	[2, 2]	0.2723	0.5337	1.9596
[4096, 4096, 2048]	[32, 64, 32]	[2, 2]	0.2730	0.6375	2.3351
[4096, 4096, 2048]	[128, 256, 128]	[2, 2]	0.2727	0.8612	3.1581
[4096, 4096, 2048]	[256, 128, 128]	[2, 2]	0.2723	1.0826	3.9759
[4096, 4096, 2048]	[64, 256, 128]	[2, 2]	0.2733	0.4838	1.7705
[4096, 4096, 2048]	[128, 128, 128]	[2, 2]	0.2723	0.3465	1.2727
[4096, 4096, 2048]	[128, 64, 64]	[2, 2]	0.2729	0.3511	1.2863
[4096, 4096, 2048]	[64, 128, 64]	[2, 2]	0.2723	0.3572	1.3117
