M,N,K,kTM,kTN,kTK,cuBLAS,Cutlass,TiledCUDA
4096,4096,2048,128,256,64,0.27756544947624207,nan,nan
4096,4096,2048,64,256,32,0.2776268720626831,nan,1.645322265625
4096,4096,2048,128,128,32,0.2793881595134735,nan,1.656873016357422
4096,4096,2048,128,64,32,0.27879422903060913,nan,1.6498483276367188
4096,4096,2048,64,128,32,0.2784665822982788,nan,1.6781312561035155
4096,4096,2048,128,32,32,0.27756544947624207,nan,1.6920985412597656
4096,4096,2048,32,64,32,0.27686911821365356,nan,1.6755917358398438
4096,4096,2048,128,256,128,0.2770124673843384,nan,nan
4096,4096,2048,256,128,128,0.2773401737213135,nan,2.578821105957031
4096,4096,2048,256,64,128,0.27713534235954285,nan,nan
4096,4096,2048,64,256,128,0.27746304869651794,nan,1.6490495300292969
4096,4096,2048,128,128,128,0.27699199318885803,nan,1.6761651611328126
4096,4096,2048,128,64,64,0.2771148979663849,nan,1.6197427368164063
4096,4096,2048,64,128,64,0.2787737548351288,nan,1.6031539916992188
4096,4096,2048,128,32,64,0.27705344557762146,nan,1.631293487548828
