M,N,K,kTM,kTN,kTK,cuBLAS,Cutlass,TiledCUDA
4096,4096,2048,128,256,64,0.2779955267906189,nan,nan
4096,4096,2048,64,256,32,0.2784256041049957,nan,1.6453836059570313
4096,4096,2048,128,128,32,0.27779072523117065,nan,1.6401817321777343
4096,4096,2048,128,64,32,0.2802073657512665,nan,1.5992626953125
4096,4096,2048,64,128,32,0.27893760800361633,nan,1.5902105712890624
4096,4096,2048,128,32,32,0.277811199426651,nan,1.6581222534179687
4096,4096,2048,32,64,32,0.2786918580532074,nan,1.6385842895507812
4096,4096,2048,128,256,128,0.2804940938949585,nan,2.425057220458984
4096,4096,2048,256,128,128,0.27996161580085754,nan,nan
4096,4096,2048,256,64,128,0.28180480003356934,nan,nan
4096,4096,2048,64,256,128,0.301199346780777,nan,1.640386505126953
4096,4096,2048,128,128,128,0.2792448103427887,nan,1.611161651611328
4096,4096,2048,128,64,64,0.2796134352684021,nan,1.6123085021972656
4096,4096,2048,64,128,64,0.28014591336250305,nan,1.61038330078125
4096,4096,2048,128,32,64,0.2788352072238922,nan,1.6113253784179689
